audit_number,cohort,pmcid,pmc_url,table_id,table_label,expected_acceptance,normalized_rows_checked,normalized_cells_checked,recomputed_normalized_rows,recomputed_normalized_cells,cell_transcription_errors,group_acceptance_error,adjudication,candidate_source_sha256,locked_source_text_sha256,source_hash_consistent_across_article_candidate_table,caption_matches,candidate_type_matches,score_matches,parse_status_matches,matched_terms_match,normalized_denominators_match,all_cell_values_lexically_present_in_locked_source_text,verification_pass
26,included,PMC9091039,https://pmc.ncbi.nlm.nih.gov/articles/PMC9091039/,t2,Table 2,True,9,36,9,36,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,08d750eb2fdf722e76b494b2d0252f86e1c8cd869d59b461ce0150322cf8f886,a77e40841688bc70aede493780f901c4d8e22727b0f49c584d9cca98581f5a8f,True,True,True,True,True,True,True,True,True
27,included,PMC9279258,https://pmc.ncbi.nlm.nih.gov/articles/PMC9279258/,Tab3,Table 3,True,12,48,12,48,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,76068ed797625bd23d2b1695d79d1d769a229690f7eabe100b7de64613900807,258d1387865912dfe835c7954dd78d7bf2035d5d7553b1bdbb4efcae4312112e,True,True,True,True,True,True,True,True,True
28,included,PMC9502997,https://pmc.ncbi.nlm.nih.gov/articles/PMC9502997/,Tab2,Table 2,True,16,64,16,64,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,9863ca5b79943cecc00edd3d693cdf5ec43c485db5d9a01ecddac9e062966b4d,945b44ecff52fa2ad0657af1bdcf41c1b339ae04ed0fdc47d3097ee2f864982d,True,True,True,True,True,True,True,True,True
29,included,PMC9803521,https://pmc.ncbi.nlm.nih.gov/articles/PMC9803521/,T3,Table 3,True,12,48,12,48,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,9c66e38101d2b404290d45ba5200ef514f8cc087a5d3dca6f8930f07f1e4da84,c9dceffb6a250c14c16060e3fc154cc461d66f3bfa00a2a012905e5b0f6294d3,True,True,True,True,True,True,True,True,True
30,included,PMC9928182,https://pmc.ncbi.nlm.nih.gov/articles/PMC9928182/,T1,Table 1,True,15,60,15,60,0,False,pass: explicit study-level four-cell table accepted with matching normalized values,4eeed8080c5c300bd33bdc70d6b9db267a492171cc8b10c9ee87618013b7f341,dc87b7f133fd8d971b2d2345bcc4e74ee87fe277ce676dad122916a81108f7e2,True,True,True,True,True,True,True,True,True
31,rejected_near_miss,PMC13079534,https://pmc.ncbi.nlm.nih.gov/articles/PMC13079534/,Tab5,Table 5,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,3f17d9eaa08cff18898e1b0d259959260ca8f0c70533dd31df2e28c99066eeb6,54b272c769ea10d4d3aa1d6fe4f49aae70839ade065c71e5d8ba2c8694066a13,True,True,True,True,True,True,True,True,True
32,rejected_near_miss,PMC9996915,https://pmc.ncbi.nlm.nih.gov/articles/PMC9996915/,Tab2,Table 2,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,9de7cd33dd9a0226a6c501cf7238196b24f5c09f7025d1c03948e10115f6afc6,1a267a28b28129e378edbe098c9b1eaf238bd5061a14f4f1e380cd4ed40d100d,True,True,True,True,True,True,True,True,True
33,rejected_near_miss,PMC7918111,https://pmc.ncbi.nlm.nih.gov/articles/PMC7918111/,tII-etm-0-0-09817,Table II,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,37e0fd5bf574fc07a592b49ced6a6084bf76a6a27acb317b4721ccd57d191e1c,738e9b31738603e02c71c19db13cfab71783349f946e93efbea867b9922086e5,True,True,True,True,True,True,True,True,True
34,rejected_near_miss,PMC11575121,https://pmc.ncbi.nlm.nih.gov/articles/PMC11575121/,T2,Table 2.,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,fd7fe9dee593bf7b3b0bcb6ea51a626c43088a8c76c9068374792e7d77db4814,4c9e180ca97788f6bef8487b813daca3cd7ef936f07d24b0b6df2c2795445482,True,True,True,True,True,True,True,True,True
35,rejected_near_miss,PMC12430803,https://pmc.ncbi.nlm.nih.gov/articles/PMC12430803/,T1,Table 1,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,8b98d0df51431847456493e960a18240435bbd15d721690ae34d360d89d4a2fe,f588240a0a5d2f0bd9c22d8363a294b080eb2b3020f413da855a8e2277272722,True,True,True,True,True,True,True,True,True
36,rejected_near_miss,PMC9305720,https://pmc.ncbi.nlm.nih.gov/articles/PMC9305720/,CD013705-tblf-0005,Table 13,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,992163df94ac8b2e8f8074160d66bed97be6446822b364449b3ca34acf50d57c,14202bc823f78183354014654593999cc79837f0d8cc6002407f93aed95dd6cf,True,True,True,True,True,True,True,True,True
37,rejected_near_miss,PMC10144206,https://pmc.ncbi.nlm.nih.gov/articles/PMC10144206/,jcm-12-02919-t0A1,Table A1,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,3a2e23bfc50c4ae4740798e1a9d0bca0013919846338157a26d2e679da092292,6e6bcf9e00587d2a3643aeac845cc85c9a699d2b528dba2e624e6ccbc6404ee0,True,True,True,True,True,True,True,True,True
38,rejected_near_miss,PMC11899545,https://pmc.ncbi.nlm.nih.gov/articles/PMC11899545/,diagnostics-15-00648-t003,Table 3,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,5a70fb684fdf1bc8e510b9148eae2ef49f86e9276d2501f0020a9d77dd34887b,70f96ce01f3a2e9527adfa15f167d3e6c986b8a8ff4b341431af6e759fe787c0,True,True,True,True,True,True,True,True,True
39,rejected_near_miss,PMC12518662,https://pmc.ncbi.nlm.nih.gov/articles/PMC12518662/,Tab1,Table 1,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,7d02a0ab0e3f25bfa448dc5b17f3a90f1075ec960117cc5fa6cea4573786241a,38834c916e969c87b4a5bf91a8d764aedae368c73ceb377f32ea9be50f91fcc3,True,True,True,True,True,True,True,True,True
40,rejected_near_miss,PMC9208578,https://pmc.ncbi.nlm.nih.gov/articles/PMC9208578/,nan12790-tbl-0001,TABLE 1,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,446b62dcd1d3f3fe0a158bfd2d0602114881a7ecde75d710c19e8bc62aa3d459,118c918169cd330fad4d6721ae7967422762bd31702a8603d0d53bb268b7ebba,True,True,True,True,True,True,True,True,True
41,rejected_near_miss,PMC9545314,https://pmc.ncbi.nlm.nih.gov/articles/PMC9545314/,eat23769-tbl-0001,TABLE 1,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,aa5d6c094dd963252e9c46b16efbaa84ce63bdf97cd1d6f158c637e8302f8b92,5662c80678d7df68beb5b8e7273429342cf85a688d82db84691a83d24018e9a0,True,True,True,True,True,True,True,True,True
42,rejected_near_miss,PMC11289551,https://pmc.ncbi.nlm.nih.gov/articles/PMC11289551/,table3-21925682231209869,Table 3.,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,419c36db8e14ff74fa07f99e284be8746350cd748c5eda4e068a088f07a5482c,d96cd28fced6355bd2c7b99673ff65bffbbb95ef5ddb4015dd8f57dc36d203b1,True,True,True,True,True,True,True,True,True
43,rejected_near_miss,PMC12822264,https://pmc.ncbi.nlm.nih.gov/articles/PMC12822264/,Tab1,Table 1,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,17558f783c447a3c2ed9e259cd496cd6c85011f90c6af968146d8f47042a9d84,31781dcf81639d8ec6e7546fa8d7aedda7d7382a9b69507dc999f3ec87a7079b,True,True,True,True,True,True,True,True,True
44,rejected_near_miss,PMC9047851,https://pmc.ncbi.nlm.nih.gov/articles/PMC9047851/,table4-03000605221089503,Table 4.,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,79014e9b1bbbb92d2b375d122a3803977dbf6eb0997d28d012b95beeab6cc781,f01d973dfbec0abb46833e8086698ba60528bd8dc8f4d61d2a65c71a47ec080c,True,True,True,True,True,True,True,True,True
45,rejected_near_miss,PMC13284171,https://pmc.ncbi.nlm.nih.gov/articles/PMC13284171/,TAB9,Table 9,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,0c6a70156488a16a4349688431fd44ffa193a9745cac79abbcb79d3b47975d18,636cf620aedbaab3d97d0785a26fc6828ad12e0a7a91fb707c093fce9265d5bd,True,True,True,True,True,True,True,True,True
46,rejected_near_miss,PMC9604924,https://pmc.ncbi.nlm.nih.gov/articles/PMC9604924/,pone.0276544.t001,Table 1,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,74ffc9900449be43e32b20ee1dc91a352e52da125e1753402adfc35f3b39ea09,4142bed272bbbecf9bae87676362819e558a05d20f7c1ea559dfddd2d13ea55f,True,True,True,True,True,True,True,True,True
47,rejected_near_miss,PMC12214072,https://pmc.ncbi.nlm.nih.gov/articles/PMC12214072/,Tab8,Table 8,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,9eb26fcc306fe14a28e300488faf1777376861c3a601e6311f1b623c4b039595,7c98b5c8041ec7ccc37df0d41c46eafd9656e419783de58a6055637017e9f4b6,True,True,True,True,True,True,True,True,True
48,rejected_near_miss,PMC9705483,https://pmc.ncbi.nlm.nih.gov/articles/PMC9705483/,Tab4,Table 4,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,3e5fef046c6f1344b357cb3d5e37b6ca255d2fd6db2a95a4eafd68c05fd471ad,7332c8d859869dd832ceb8dc2d058df38d6f968b260e463b6bbe668989f1a81d,True,True,True,True,True,True,True,True,True
49,rejected_near_miss,PMC7304808,https://pmc.ncbi.nlm.nih.gov/articles/PMC7304808/,T1,Table 1,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,9a31569202119dd0acf1f7d5a8e19539c09d5d37b6012696620625a5191a2a64,82de77f82221a0417eeb9dc4eaf6354b132b5ae1cb63ca6d0729a493ff4e68c2,True,True,True,True,True,True,True,True,True
50,rejected_near_miss,PMC11419733,https://pmc.ncbi.nlm.nih.gov/articles/PMC11419733/,iwj70063-tbl-0002,TABLE 2,False,0,0,0,0,not_applicable,False,pass: rejected table lacks a usable study-level TP/FP/FN/TN column mapping,99efd97117ba309f3b05e6bd7edaf4435954d4fb2495e87d16a84c5aa85e6804,5b193c750b5627777e19a53b72a93306fbd8475403500e35f686c35b92547278,True,True,True,True,True,True,True,True,True
